Year,Entity,Gas production(m³),Gas consumption(m³),Coal production(Ton),Coal consumption(Ton),Oil production(m³),Oil consumption(m³),Gas production per capita(m³),Gas consumption per capita(m³),Coal production per capita(Ton),Coal consumption per capita(Ton),Oil production per capita(m³),Oil consumption per capita(m³),Population
1988,Poland,6004000000,13280000000,266200000,232900000,174200,19750000,159.3,352.3,7.062,6.177,0.004621,0.5238,37700000
1989,Poland,5664000000,13060000000,249200000,223000000,174200,19760000,149.7,345.1,6.587,5.895,0.004605,0.5224,37830000
1990,Poland,4106000000,12090000000,215100000,187300000,116100,16270000,108.2,318.6,5.666,4.935,0.00306,0.4285,37960000
1991,Poland,4361000000,11300000000,209400000,186800000,174200,15760000,114.5,296.7,5.499,4.905,0.004574,0.4139,38080000
1992,Poland,4205000000,10570000000,198200000,176700000,185800,16190000,110.1,276.6,5.188,4.626,0.004865,0.4237,38200000
1993,Poland,5167000000,11140000000,198200000,177800000,290400,17040000,134.9,290.9,5.174,4.642,0.007581,0.4448,38300000
1994,Poland,4890000000,11140000000,199900000,173400000,290400,17670000,127.4,290.2,5.207,4.516,0.007563,0.4602,38390000
1995,Poland,5067000000,11780000000,199700000,171700000,267100,18450000,131.7,306.2,5.194,4.463,0.006946,0.4796,38460000
1996,Poland,5016000000,13100000000,200900000,173800000,290400,20990000,130.2,340.1,5.217,4.513,0.00754,0.545,38510000
1997,Poland,5102000000,13110000000,200300000,167000000,348400,22720000,132.4,340.1,5.197,4.333,0.009039,0.5894,38540000
1998,Poland,5119000000,13090000000,178000000,155400000,429700,23450000,132.7,339.4,4.615,4.029,0.01114,0.6081,38560000
1999,Poland,4975000000,12400000000,170200000,149200000,522600,24400000,129,321.5,4.412,3.868,0.01355,0.6327,38570000
2000,Poland,5225000000,13380000000,161700000,144400000,755400,23880000,135.5,347.1,4.194,3.745,0.01959,0.6194,38560000
2001,Poland,5463000000,13640000000,162800000,144600000,855500,23500000,141.8,353.9,4.226,3.752,0.0222,0.6099,38530000
2002,Poland,5553000000,13420000000,160900000,140600000,773500,23600000,144.3,348.8,4.181,3.652,0.0201,0.6132,38490000
2003,Poland,5627000000,14640000000,162600000,145900000,849900,25010000,146.4,380.8,4.229,3.795,0.02211,0.6505,38440000
2004,Poland,5940000000,15550000000,161700000,145000000,967700,26370000,154.7,405.1,4.211,3.777,0.0252,0.6868,38400000
2005,Poland,6058000000,16230000000,158700000,142500000,923600,27350000,157.9,423.1,4.137,3.714,0.02407,0.7129,38370000
2006,Poland,5996000000,16190000000,155300000,146300000,870300,29170000,156.3,422,4.048,3.815,0.02269,0.7605,38350000
2007,Poland,6041000000,16160000000,144900000,143800000,793300,30410000,157.5,421.4,3.779,3.749,0.02068,0.793,38350000
2008,Poland,5751000000,16290000000,143300000,141500000,822700,31330000,149.9,424.7,3.737,3.69,0.02145,0.8168,38360000
2009,Poland,5863000000,15990000000,134600000,132500000,720400,31570000,152.9,417,3.509,3.455,0.01878,0.8232,38350000
2010,Poland,6080000000,17160000000,132700000,141000000,749700,32960000,158.6,447.6,3.462,3.677,0.01956,0.8599,38330000
2011,Poland,6248000000,17180000000,138500000,143800000,725200,32440000,163.2,448.7,3.618,3.756,0.01894,0.8472,38290000
2012,Poland,6318000000,18100000000,143500000,141500000,778200,30970000,165.3,473.5,3.754,3.702,0.02036,0.8101,38230000
2013,Poland,6208000000,18230000000,142300000,143500000,1116000,29320000,162.7,477.8,3.73,3.762,0.02926,0.7685,38160000
2014,Poland,6081000000,17660000000,136400000,137000000,1118000,29290000,159.6,463.6,3.581,3.597,0.02936,0.769,38090000
2015,Poland,6133000000,18200000000,135300000,135800000,1069000,31400000,161.2,478.6,3.557,3.57,0.02812,0.8255,38030000
2016,Poland,5849000000,19020000000,130600000,135000000,1167000,33810000,154,500.8,3.439,3.555,0.03073,0.8899,37990000
2017,Poland,5759000000,20100000000,126600000,136200000,1161000,38200000,151.7,529.6,3.337,3.588,0.0306,1.006,37950000
2018,Poland,5691000000,20310000000,122000000,133300000,1179000,39480000,150.1,535.6,3.216,3.516,0.0311,1.041,37920000
2019,Poland,5744000000,20780000000,112000000,119300000,1132000,40520000,151.6,548.6,2.955,3.148,0.02988,1.069,37890000
2020,Poland,5667000000,21470000000,100400000,108400000,1090000,38470000,149.7,567.2,2.652,2.865,0.02881,1.017,37850000
2021,Poland,,,,,,,,,,,,,37800000
1980,Portugal,0,0,177000,612000,0,8960000,0,0,0.01815,0.06276,0,0.9189,9751000
1981,Portugal,0,0,184000,567000,0,8130000,0,0,0.01874,0.05774,0,0.8278,9821000
1982,Portugal,0,0,178000,536000,0,10680000,0,0,0.01803,0.0543,0,1.082,9871000
1983,Portugal,0,0,185000,594000,0,10740000,0,0,0.01868,0.05998,0,1.085,9903000
1984,Portugal,0,0,194000,558000,0,11070000,0,0,0.01955,0.05624,0,1.116,9921000
1985,Portugal,0,0,237000,1066000,0,10440000,0,0,0.02387,0.1074,0,1.052,9929000
1986,Portugal,0,0,236000,2208000,0,11390000,0,0,0.02378,0.2224,0,1.147,9926000
1987,Portugal,0,0,261000,2866000,0,11160000,0,0,0.02633,0.2891,0,1.126,9914000
1988,Portugal,0,0,230000,3332000,0,11840000,0,0,0.02323,0.3366,0,1.196,9899000
1989,Portugal,0,0,258000,3913000,0,14470000,0,0,0.02609,0.3956,0,1.463,9891000
1990,Portugal,0,0,281000,4392000,0,14580000,0,0,0.0284,0.4439,0,1.474,9895000
1991,Portugal,0,0,270000,4667000,0,14640000,0,0,0.02723,0.4707,0,1.476,9916000
1992,Portugal,0,0,221000,4702000,0,16200000,0,0,0.02221,0.4725,0,1.627,9951000
1993,Portugal,0,0,197000,4950000,0,15420000,0,0,0.01971,0.4952,0,1.542,9997000
1994,Portugal,0,0,147000,5225000,0,15730000,0,0,0.01463,0.5202,0,1.566,10050000
1995,Portugal,0,0,0,5708000,0,16860000,0,0,0,0.5656,0,1.671,10090000
1996,Portugal,0,0,0,5471000,0,16290000,0,0,0,0.5399,0,1.608,10130000
1997,Portugal,0,100000000,0,5541000,0,17320000,0,9.83,0,0.5446,0,1.702,10170000
1998,Portugal,0,806100000,0,5099000,0,18930000,0,78.92,0,0.4992,0,1.853,10210000
1999,Portugal,0,2248000000,0,6126000,0,19560000,0,219.2,0,0.5974,0,1.908,10250000
2000,Portugal,0,2280000000,0,6148000,0,19320000,0,221.4,0,0.5971,0,1.876,10300000
2001,Portugal,0,2543000000,0,5145000,0,19390000,0,245.9,0,0.4975,0,1.875,10340000
2002,Portugal,0,3113000000,0,5668000,0,19930000,0,299.8,0,0.5457,0,1.919,10390000
2003,Portugal,0,3017000000,0,5354000,0,18930000,0,289.3,0,0.5134,0,1.815,10430000
2004,Portugal,0,3760000000,0,5416000,0,19040000,0,359.1,0,0.5172,0,1.819,10470000
2005,Portugal,0,4259000000,0,5454000,0,19560000,0,405.2,0,0.519,0,1.862,10510000
2006,Portugal,0,4139000000,0,5456000,0,17580000,0,392.6,0,0.5175,0,1.667,10540000
2007,Portugal,0,4345000000,0,4721000,0,17890000,0,410.9,0,0.4465,0,1.692,10570000
2008,Portugal,0,4721000000,0,4141000,0,16990000,0,445.5,0,0.3908,0,1.604,10600000
2009,Portugal,0,4746000000,0,4668000,0,16030000,0,447.5,0,0.4402,0,1.512,10600000
2010,Portugal,0,5141000000,0,2685000,0,15890000,0,485.1,0,0.2534,0,1.5,10600000
2011,Portugal,0,5185000000,0,3718000,0,14890000,0,490.5,0,0.3518,0,1.408,10570000
2012,Portugal,0,4491000000,0,4864000,0,13370000,0,426.6,0,0.4621,0,1.27,10530000
2013,Portugal,0,4265000000,0,4437000,0,13600000,0,407.2,0,0.4237,0,1.298,10470000
2014,Portugal,0,4079000000,0,4520000,0,13560000,0,391.6,0,0.4339,0,1.301,10420000
2015,Portugal,0,4767000000,0,5505000,0,13780000,0,459.7,0,0.531,0,1.329,10370000
2016,Portugal,0,5021000000,0,4799000,0,13770000,0,486.2,0,0.4648,0,1.334,10330000
2017,Portugal,0,6249000000,0,5442000,0,14050000,0,607.4,0,0.5289,0,1.366,10290000
2018,Portugal,0,5698000000,0,4546000,0,13450000,0,555.6,0,0.4433,0,1.311,10260000
2019,Portugal,0,5977000000,0,2106000,0,14470000,0,584.5,0,0.2059,0,1.415,10230000
2020,Portugal,0,5937000000,0,949400,0,11770000,0,582.2,0,0.09311,0,1.154,10200000
2021,Portugal,,,,,,,,,,,,,10170000
1980,Puerto Rico,0,0,0,0,0,6155000,0,0,0,0,0,1.926,3196000
1981,Puerto Rico,0,0,0,0,0,6155000,,,,,,,
1982,Puerto Rico,0,0,0,0,0,6155000,,,,,,,
1983,Puerto Rico,0,0,0,171000,0,6155000,,,,,,,
1984,Puerto Rico,0,0,0,100000,0,6155000,,,,,,,
1985,Puerto Rico,0,0,0,100000,0,6155000,,,,,,,
1986,Puerto Rico,0,0,0,232000,0,6155000,,,,,,,
1987,Puerto Rico,0,0,0,293000,0,6155000,,,,,,,
1988,Puerto Rico,0,0,0,358000,0,6155000,,,,,,,
1989,Puerto Rico,0,0,0,298000,0,6155000,,,,,,,
1990,Puerto Rico,0,0,0,213000,0,6155000,0,0,0,0.06036,0,1.744,3529000
1991,Puerto Rico,0,0,0,192000,0,6155000,,,,,,,
1992,Puerto Rico,0,0,0,154000,0,6155000,,,,,,,
1993,Puerto Rico,0,0,0,160000,0,6155000,,,,,,,
1994,Puerto Rico,0,0,0,162000,0,6155000,,,,,,,
1995,Puerto Rico,0,0,0,165000,0,6155000,,,,,,,
1996,Puerto Rico,0,0,0,170000,0,6155000,,,,,,,
1997,Puerto Rico,0,0,0,173000,0,6155000,,,,,,,
1998,Puerto Rico,0,0,0,175000,0,6155000,,,,,,,
1999,Puerto Rico,0,0,0,160000,0,6155000,,,,,,,
2000,Puerto Rico,0,350000000,0,183900,0,11690000,0,91.77,0,0.04822,0,3.065,3814000
2001,Puerto Rico,0,630100000,0,235900,0,12420000,0,165.5,0,0.06195,0,3.261,3808000
2002,Puerto Rico,0,630100000,0,893000,0,12310000,0,165.8,0,0.2349,0,3.239,3801000
2003,Puerto Rico,0,740100000,0,1176000,0,12650000,0,195,0,0.3098,0,3.333,3795000
2004,Puerto Rico,0,680100000,0,1300000,0,12940000,0,179.5,0,0.3432,0,3.415,3788000
2005,Puerto Rico,0,670100000,0,1330000,0,12500000,0,177.2,0,0.3517,0,3.305,3782000
2006,Puerto Rico,0,720100000,0,1500000,0,10840000,0,190.7,0,0.3973,0,2.871,3775000
2007,Puerto Rico,0,736300000,0,1502000,0,10470000,0,195.4,0,0.3984,0,2.778,3769000
2008,Puerto Rico,0,806700000,0,1515000,0,9669000,0,214.4,0,0.4028,0,2.57,3762000
2009,Puerto Rico,0,756800000,0,1505000,0,9037000,0,201.5,0,0.4007,0,2.406,3756000
2010,Puerto Rico,0,770100000,0,1410000,0,7336000,0,205.4,0,0.3762,0,1.957,3749000
2011,Puerto Rico,0,750100000,0,1517000,0,8277000,0,200.6,0,0.4059,0,2.214,3738000
2012,Puerto Rico,0,1360000000,0,1451000,0,8189000,0,364.9,0,0.3892,0,2.197,3728000
2013,Puerto Rico,0,1606000000,0,1446000,0,6751000,0,432,0,0.3889,0,1.816,3717000
2014,Puerto Rico,0,1663000000,0,1519000,0,6255000,0,448.6,0,0.4099,0,1.688,3707000
2015,Puerto Rico,0,1568000000,0,1461000,0,6313000,0,424.3,0,0.3953,0,1.708,3696000
2016,Puerto Rico,0,1737000000,0,1443000,0,5618000,0,471.3,0,0.3917,0,1.524,3685000
2017,Puerto Rico,0,1315000000,0,1015000,0,6229000,0,357.8,0,0.2763,0,1.695,3675000
2018,Puerto Rico,0,1707000000,0,1128000,0,5829000,,,,,,,
2019,Puerto Rico,0,1946000000,0,1571000,0,4588000,,,,,,,
2020,Puerto Rico,0,1367000000,0,1361000,0,,,,,,,,
2021,Puerto Rico,,,,,,,,,,,,,
1973,Qatar,,,,,33130000,,,,,,233,,142200
1974,Qatar,,,,,30070000,,,,,,195.7,,153600
1975,Qatar,,,,,25430000,,,,,,154.8,,164300
1976,Qatar,,,,,28870000,,,,,,166.2,,173700
1977,Qatar,,,,,25840000,,,,,,141.7,,182300
1978,Qatar,,,,,28280000,,,,,,147.3,,191900
1979,Qatar,,,,,29500000,,,,,,143.8,,205200
1980,Qatar,5211000000,5211000000,0,0,27400000,987200,23300,23300,0,0,122.5,4.415,223600
1981,Qatar,4446000000,4446000000,0,0,23530000,1045000,17930,17930,0,0,94.89,4.215,248000
1982,Qatar,5268000000,5268000000,0,0,19160000,1219000,19000,19000,0,0,69.1,4.399,277200
1983,Qatar,4928000000,4928000000,0,0,17130000,1278000,15930,15930,0,0,55.38,4.13,309300
1984,Qatar,5919000000,5919000000,0,0,22900000,1394000,17340,17340,0,0,67.11,4.084,341300
1985,Qatar,5409000000,5409000000,0,0,17510000,1452000,14580,14580,0,0,47.2,3.914,370900
1986,Qatar,5466000000,5466000000,0,0,17880000,1607000,13740,13740,0,0,44.97,4.041,397700
1987,Qatar,5607000000,5607000000,0,0,17020000,1678000,13280,13280,0,0,40.31,3.975,422200
1988,Qatar,5862000000,5862000000,0,0,20090000,1565000,13210,13210,0,0,45.28,3.528,443600
1989,Qatar,6089000000,6089000000,0,0,22070000,1606000,13190,13190,0,0,47.81,3.479,461700
1990,Qatar,6287000000,6287000000,0,0,23580000,1607000,13200,13200,0,0,49.5,3.374,476300
1991,Qatar,7631000000,7631000000,0,0,22940000,1626000,15660,15660,0,0,47.07,3.336,487400
1992,Qatar,12620000000,12620000000,0,0,22980000,1742000,25480,25480,0,0,46.38,3.517,495400
1993,Qatar,13500000000,13500000000,0,0,23980000,1829000,26920,26920,0,0,47.82,3.648,501500
1994,Qatar,13500000000,13500000000,0,0,24090000,1881000,26630,26630,0,0,47.51,3.711,507000
1995,Qatar,13500000000,13500000000,0,0,25650000,2003000,26300,26300,0,0,49.95,3.902,513400
1996,Qatar,13700000000,13700000000,0,0,29640000,2311000,26220,26220,0,0,56.73,4.423,522500
1997,Qatar,17400000000,14540000000,0,0,31930000,2341000,32510,27160,0,0,59.65,4.374,535300
1998,Qatar,19580000000,14790000000,0,0,40390000,2410000,35500,26820,0,0,73.23,4.369,551600
1999,Qatar,22050000000,13950000000,0,0,38610000,3438000,38660,24460,0,0,67.69,6.026,570500
2000,Qatar,29100000000,15060000000,0,0,43070000,2941000,49120,25420,0,0,72.7,4.963,592500
2001,Qatar,26600000000,10060000000,0,0,42370000,3682000,43260,16360,0,0,68.89,5.987,615000
2002,Qatar,29500000000,11110000000,0,0,41180000,5347000,46040,17340,0,0,64.25,8.343,640900
2003,Qatar,31400000000,12210000000,0,0,46840000,5122000,46060,17910,0,0,68.7,7.512,681800
2004,Qatar,39170000000,15030000000,0,0,52340000,4737000,52000,19950,0,0,69.48,6.288,753300
2005,Qatar,45810000000,18700000000,0,0,56770000,5576000,52930,21610,0,0,65.6,6.443,865400
2006,Qatar,50710000000,19610000000,0,0,57820000,7078000,49580,19180,0,0,56.53,6.921,1023000
2007,Qatar,63210000000,19700000000,0,0,62890000,8067000,51880,16170,0,0,51.61,6.621,1218000
2008,Qatar,76990000000,20200000000,0,0,68090000,10010000,53590,14060,0,0,47.4,6.969,1437000
2009,Qatar,89310000000,21100000000,0,0,74050000,10730000,53970,12750,0,0,44.74,6.486,1655000
2010,Qatar,1.167E+11,21800000000,0,0,75290000,11420000,62870,11750,0,0,40.56,6.15,1856000
2011,Qatar,1.453E+11,25480000000,0,0,81420000,10790000,71360,12520,0,0,39.99,5.298,2036000
2012,Qatar,1.571E+11,37020000000,0,0,86240000,13240000,71520,16860,0,0,39.27,6.029,2196000
2013,Qatar,1.642E+11,41600000000,0,0,84710000,12590000,70290,17800,0,0,36.25,5.388,2337000
2014,Qatar,1.6E+11,41070000000,0,0,82690000,13930000,65060,16700,0,0,33.63,5.663,2459000
2015,Qatar,1.641E+11,40170000000,0,0,78770000,13560000,63950,15660,0,0,30.7,5.284,2566000
2016,Qatar,1.662E+11,38500000000,0,0,78680000,13510000,62620,14510,0,0,29.64,5.089,2654000
2017,Qatar,1.664E+11,39890000000,0,0,75990000,15440000,61060,14640,0,0,27.89,5.667,2725000
2018,Qatar,1.655E+11,37100000000,0,0,75970000,15540000,59490,13340,0,0,27.31,5.588,2782000
2019,Qatar,1.675E+11,37710000000,0,0,71510000,17060000,59140,13310,0,0,25.25,6.025,2832000
2020,Qatar,,,0,0,74010000,,,,0,0,25.69,,2881000
2021,Qatar,,,,,,,,,,,,,2931000
1980,Reunion,0,0,0,0,0,249700,0,0,0,0,0,0.4932,506300
1981,Reunion,0,0,0,0,0,249700,,,,,,,
1982,Reunion,0,0,0,0,0,272900,,,,,,,
1983,Reunion,0,0,0,0,0,313600,,,,,,,
1984,Reunion,0,0,0,0,0,348400,,,,,,,
1985,Reunion,0,0,0,0,0,342600,,,,,,,
1986,Reunion,0,0,0,0,0,331300,,,,,,,
1987,Reunion,0,0,0,0,0,372000,,,,,,,
1988,Reunion,0,0,0,0,0,436400,,,,,,,
1989,Reunion,0,0,0,0,0,464600,,,,,,,
1990,Reunion,0,0,0,0,0,496300,0,0,0,0,0,0.8217,604000
1991,Reunion,0,0,0,0,0,577700,,,,,,,
1992,Reunion,0,0,0,0,0,603900,,,,,,,
1993,Reunion,0,0,0,0,0,754900,,,,,,,
1994,Reunion,0,0,0,0,0,783900,,,,,,,
1995,Reunion,0,0,0,0,0,772300,,,,,,,
1996,Reunion,0,0,0,0,0,772300,,,,,,,
1997,Reunion,0,0,0,0,0,772300,,,,,,,
1998,Reunion,0,0,0,0,0,993000,,,,,,,
1999,Reunion,0,0,0,0,0,993000,,,,,,,
2000,Reunion,0,0,0,0,0,864900,0,0,0,0,0,1.195,723800
2001,Reunion,0,0,0,0,0,864700,0,0,0,0,0,1.176,735100
2002,Reunion,0,0,0,0,0,887600,0,0,0,0,0,1.189,746400
2003,Reunion,0,0,0,0,0,901600,0,0,0,0,0,1.19,757800
2004,Reunion,0,0,0,0,0,998900,0,0,0,0,0,1.299,769100
2005,Reunion,0,0,0,0,0,952000,0,0,0,0,0,1.22,780400
2006,Reunion,0,0,0,0,0,887300,0,0,0,0,0,1.121,791800
2007,Reunion,0,0,0,0,0,844400,0,0,0,0,0,1.051,803100
2008,Reunion,0,0,0,0,0,944000,0,0,0,0,0,1.159,814400
2009,Reunion,0,0,0,0,0,984400,0,0,0,0,0,1.192,825800
2010,Reunion,0,0,0,0,0,1079000,0,0,0,0,0,1.289,837100
2011,Reunion,0,0,0,0,0,1048000,0,0,0,0,0,1.238,846500
2012,Reunion,0,0,0,0,0,966100,0,0,0,0,0,1.129,856000
2013,Reunion,0,0,0,0,0,928200,0,0,0,0,0,1.073,865400
2014,Reunion,0,0,0,0,0,974400,0,0,0,0,0,1.114,874800
2015,Reunion,0,0,0,0,0,1034000,0,0,0,0,0,1.169,884300
2016,Reunion,0,0,0,0,0,1065000,0,0,0,0,0,1.192,893700
2017,Reunion,0,0,0,0,0,1079000,0,0,0,0,0,1.195,903200
2018,Reunion,0,0,0,0,0,1079000,,,,,,,
2019,Reunion,0,0,0,0,0,1079000,,,,,,,
2020,Reunion,0,0,0,0,0,,,,,,,,
2021,Reunion,,,,,,,,,,,,,
1980,Romania,33980000000,35430000000,35160000,39370000,13820000,21720000,1503,1567,1.555,1.741,0.6111,0.9603,22620000
1981,Romania,35120000000,35880000000,36930000,40700000,13990000,20030000,1544,1578,1.624,1.79,0.6155,0.8811,22740000
1982,Romania,38230000000,39960000000,37860000,41490000,14050000,19740000,1675,1750,1.658,1.817,0.6155,0.8648,22830000
1983,Romania,39650000000,40950000000,44520000,50310000,13940000,18580000,1731,1788,1.944,2.196,0.6084,0.8112,22910000
1984,Romania,37890000000,39510000000,44280000,49580000,13760000,17830000,1649,1719,1.927,2.157,0.5988,0.7756,22980000
1985,Romania,35990000000,37840000000,46580000,52630000,12780000,18580000,1560,1640,2.019,2.281,0.5537,0.8054,23070000
1986,Romania,37950000000,39930000000,47520000,53840000,12830000,18680000,1637,1723,2.051,2.323,0.5538,0.8061,23180000
1987,Romania,37300000000,39790000000,51520000,58610000,12490000,19730000,1602,1709,2.212,2.517,0.5361,0.8473,23290000
1988,Romania,36250000000,36990000000,58750000,66840000,11210000,19150000,1550,1581,2.512,2.857,0.4791,0.8187,23390000
1989,Romania,32000000000,39190000000,61340000,67000000,10450000,20030000,1364,1670,2.614,2.855,0.4454,0.8537,23470000
1990,Romania,28350000000,35710000000,38180000,45930000,9465000,22220000,1207,1520,1.626,1.955,0.403,0.9461,23490000
1991,Romania,24810000000,29450000000,32410000,38560000,8130000,16110000,1058,1256,1.382,1.644,0.3466,0.687,23460000
1992,Romania,22000000000,26500000000,38370000,43850000,7898000,14510000,941.3,1134,1.641,1.876,0.3378,0.6206,23380000
1993,Romania,21120000000,25720000000,39750000,44970000,7723000,14410000,908.2,1106,1.709,1.934,0.3321,0.6195,23260000
1994,Romania,19590000000,24090000000,40550000,43900000,7991000,12810000,847.6,1042,1.754,1.899,0.3457,0.5542,23120000
1995,Romania,19350000000,25500000000,41120000,45200000,7839000,14170000,842.7,1111,1.791,1.968,0.3414,0.6172,22960000
1996,Romania,17960000000,25310000000,41870000,45400000,7839000,14890000,787.6,1110,1.836,1.991,0.3437,0.6529,22810000
1997,Romania,17400000000,23500000000,33810000,37720000,7781000,15680000,768.7,1038,1.493,1.666,0.3437,0.6929,22640000
1998,Romania,14600000000,18400000000,26230000,31510000,7645000,14490000,649.9,819.1,1.168,1.403,0.3403,0.6449,22470000
1999,Romania,14200000000,17600000000,22880000,27750000,7271000,12180000,636.9,789.4,1.026,1.244,0.3261,0.5464,22300000
2000,Romania,13600000000,17000000000,29290000,31690000,6993000,12340000,614.4,768,1.323,1.431,0.3159,0.5574,22140000
2001,Romania,14300000000,19700000000,33290000,33780000,7201000,13560000,650.4,896,1.514,1.536,0.3275,0.6169,21990000
2002,Romania,13300000000,18300000000,30410000,34190000,7107000,13140000,608.7,837.5,1.392,1.565,0.3252,0.6013,21850000
2003,Romania,12300000000,18000000000,33060000,36930000,6757000,12750000,566.4,828.8,1.522,1.7,0.3111,0.5871,21720000
2004,Romania,11800000000,18000000000,31790000,35140000,6634000,13010000,546.9,834.3,1.473,1.629,0.3075,0.6029,21580000
2005,Romania,11700000000,18200000000,31110000,35830000,6115000,13040000,546.4,849.9,1.452,1.673,0.2855,0.6089,21420000
2006,Romania,12720000000,18620000000,34920000,40680000,5601000,12640000,599.1,877,1.645,1.916,0.2638,0.5951,21230000
2007,Romania,12240000000,17140000000,35780000,39550000,5483000,12940000,582,815,1.701,1.88,0.2607,0.6151,21030000
2008,Romania,11420000000,15880000000,35860000,39630000,5540000,12530000,548.3,762.5,1.722,1.902,0.266,0.6014,20830000
2009,Romania,10860000000,12870000000,33960000,34360000,5323000,11200000,526.3,623.7,1.646,1.665,0.2579,0.5427,20640000
2010,Romania,10590000000,12870000000,31130000,31800000,5118000,11130000,517.4,628.7,1.521,1.554,0.25,0.5439,20470000
2011,Romania,10610000000,13770000000,35510000,38530000,5044000,10750000,521.9,677.3,1.746,1.894,0.248,0.5285,20340000
2012,Romania,10630000000,13480000000,33950000,35020000,4898000,11010000,525.4,666.3,1.678,1.731,0.2422,0.5444,20230000
2013,Romania,10640000000,12080000000,24720000,26510000,4936000,10680000,528.5,600,1.228,1.317,0.2451,0.5302,20130000
2014,Romania,10730000000,11290000000,23570000,26530000,4840000,10720000,535.6,563.6,1.176,1.324,0.2416,0.535,20040000
2015,Romania,10800000000,10970000000,25490000,27520000,4800000,11040000,542.1,550.6,1.279,1.381,0.2409,0.5541,19930000
2016,Romania,9520000000,10940000000,22990000,24390000,4524000,11510000,480.9,552.7,1.161,1.232,0.2285,0.5815,19800000
2017,Romania,10890000000,11570000000,25750000,26280000,4193000,12190000,553.9,588.9,1.31,1.337,0.2134,0.6202,19650000
2018,Romania,10580000000,11470000000,23650000,25350000,4129000,12090000,542.6,587.9,1.212,1.3,0.2117,0.6198,19510000
2019,Romania,10370000000,11090000000,21650000,22380000,4058000,12910000,535.5,572.6,1.118,1.156,0.2096,0.6664,19360000
2020,Romania,,,15000000,15720000,3925000,,,,0.7798,0.8171,0.204,,19240000
2021,Romania,,,,,,,,,,,,,19130000
1992,Russia,6.405E+11,4.668E+11,316400000,311800000,443200000,256900000,4320,3148,2.134,2.103,2.989,1.733,148300000
1993,Russia,6.178E+11,4.584E+11,286300000,277300000,390800000,190000000,4164,3089,1.93,1.869,2.634,1.281,148400000
1994,Russia,6.075E+11,4.309E+11,254600000,255200000,356300000,154500000,4095,2904,1.716,1.721,2.402,1.042,148300000
1995,Russia,5.949E+11,4.108E+11,245700000,253900000,348100000,161600000,4013,2772,1.658,1.713,2.349,1.09,148200000
1996,Russia,5.626E+11,3.706E+11,240300000,247700000,339700000,156500000,3801,2504,1.624,1.673,2.295,1.057,148000000
1997,Russia,5.353E+11,3.483E+11,229400000,226600000,343800000,150600000,3623,2358,1.553,1.534,2.327,1.02,147700000
1998,Russia,5.538E+11,3.569E+11,218700000,215300000,339900000,143000000,3758,2422,1.484,1.461,2.307,0.9706,147400000
1999,Russia,5.549E+11,3.563E+11,235200000,216800000,353000000,147300000,3777,2425,1.601,1.476,2.403,1.003,146900000
2000,Russia,5.476E+11,3.698E+11,240300000,225600000,376200000,148900000,3740,2526,1.642,1.541,2.57,1.017,146400000
2001,Russia,5.444E+11,3.655E+11,248000000,226800000,401700000,151100000,3733,2506,1.701,1.555,2.754,1.036,145800000
2002,Russia,5.575E+11,3.841E+11,237600000,220700000,430200000,149600000,3839,2645,1.636,1.52,2.962,1.03,145200000
2003,Russia,5.808E+11,4.023E+11,257000000,224200000,472200000,150400000,4016,2782,1.777,1.55,3.266,1.04,144600000
2004,Russia,5.945E+11,4.125E+11,258900000,217000000,511300000,150000000,4126,2863,1.797,1.506,3.549,1.041,144100000
2005,Russia,6.011E+11,4.058E+11,282900000,214700000,525100000,152100000,4184,2825,1.969,1.494,3.655,1.059,143700000
2006,Russia,6.156E+11,4.311E+11,284600000,219700000,537000000,158300000,4293,3007,1.984,1.532,3.745,1.104,143400000
2007,Russia,6.116E+11,4.312E+11,289000000,212200000,548000000,157400000,4269,3010,2.017,1.481,3.825,1.099,143300000
2008,Russia,6.093E+11,4.403E+11,305000000,229500000,543300000,165300000,4253,3073,2.129,1.602,3.793,1.154,143200000
2009,Russia,5.467E+11,3.825E+11,276000000,204000000,551400000,159600000,3814,2668,1.926,1.424,3.847,1.114,143300000
2010,Russia,6.077E+11,4.626E+11,298700000,202100000,562900000,172200000,4235,3224,2.082,1.409,3.923,1.2,143500000
2011,Russia,6.289E+11,4.778E+11,295600000,210000000,567500000,181800000,4377,3325,2.057,1.461,3.949,1.265,143700000
2012,Russia,6.157E+11,4.69E+11,329400000,220400000,576100000,184600000,4276,3257,2.287,1.531,4.001,1.282,144000000
2013,Russia,6.27E+11,4.619E+11,350000000,198100000,583800000,194300000,4344,3200,2.425,1.373,4.045,1.346,144300000
2014,Russia,6.08E+11,4.593E+11,357200000,190800000,586900000,209500000,4203,3175,2.469,1.319,4.057,1.448,144700000
2015,Russia,6.098E+11,4.4E+11,371700000,212400000,595400000,212500000,4206,3035,2.564,1.465,4.107,1.466,145000000
2016,Russia,6.16E+11,4.387E+11,383800000,206000000,612700000,207700000,4240,3020,2.642,1.418,4.218,1.43,145300000
2017,Russia,6.359E+11,4.676E+11,407900000,208100000,615800000,199000000,4369,3213,2.803,1.43,4.232,1.368,145500000
2018,Russia,6.677E+11,4.908E+11,432700000,221100000,624700000,201100000,4581,3368,2.969,1.517,4.287,1.38,145700000
